カンマ(,)は消さずにお願いします。★は消しても大丈夫です,,,,,,
左から「曲番号」「ファイル名」「曲名」「作曲者」「演出総数(2以上の場合のみ記入)」「補足(ファイル消失等)」,,,,,,,
編集したら「RIGHT:最終更新」の部分を書き換える事！しなくても良いけど、してくれると嬉しいです,,,,,,,
ちなみにエクセルで見るとコンマが表の区切りとして認識されます。なのでエクセル推奨。でも保存は「csv形式」でお願いね,,,,,,,
,,,,,,,
,>,>,>,>,>,RIGHT:最終更新：2013/02/11,★
,102,ループ「青光」By音師竹内.wav,青光,音師竹内,2,,★
,103,予兆.wav,,,,,★
,104,ループ「機械音」By音師竹内.wav,機械音,音師竹内,,,★
,105,152-you.wav,you,152,,,★
,106,trom_piano.mp3,,,,,★
,107,dedp_noizu.wav,,,,,★
,108,RIMA-bgm-farm002.wav,,RIMA,,,★
,109,8.mp3,,,,壁紙「水やり」取得で演出追加,★
,110,bgm-h_m.wav,,,,,★
,111,bgm-j_m.wav,,,,,★
,112,bgm-l-m.wav,,,,,★
,113,yume d12a.mid,,,,,★
,114,yume d12b.mid,,,,,★
,115,yume d12c.mid,,,,,★
,116,yume d12d.mid,,,,,★
,117,yume d12e.mid,,,,,★
,118,dedp_BBPSampleKit3 - Nu Skool Breaks 095 140 BPM,,,,ファイル消失,★
,119,dedp_BBPSampleKit3 - Nu Skool Breaks,,,,ファイル消失,★
,120,pinu_heart.mp3,HEART,hitoshi,,カンテラ取得で演出追加,★
,121,pinu_muyu.mp3,夢遊病,hitoshi,,,★
,122,pinu_soshitsu.mp3,喪失,hitoshi,,,★
,123,2_23.wav,,かめりあ,,,★
,124,2_28.wav,,かめりあ,,,★
,125,camellia-japanish2.wav,japanish2,かめりあ,,,★
,126,camellia-themepark.wav,themepark,かめりあ,,,★
,127,bgm6.wav,,,2,壁紙「離島」取得で演出追加,★
,128,bgm-m 2.wav,,,,,★
,129,sounda.wav,,,,,★
,130,soundb.wav,,,,,★
,131,soundc.wav,,,,,★
,132,soundc_2.wav,,,,,★
,133,soundd.wav,,,,,★
,134,pseudosound2.wav,,,,,★
,135,bgm-r.wav,,,,,★
,136,bgm-r mero.wav,,,,,★
,137,bgm-m.wav,,,,,★
,138,bgm-o.wav,,,,,★
,139,bgm-o 2.wav,,,,,★
,140,bgm-n.wav,,,,,★
,141,yume a.mid,,,,,★
,142,2_13.wav,,かめりあ,,,★
,143,2_39.wav,,かめりあ,,,★
,144,2_40.wav,,かめりあ,,,★
,145,2_45.wav,,かめりあ,,,★
